name,email,sex,age,city,children,reducedMobility,carOwner,weight,height,practiceSports,smoker,drinker,yearIncome,currentJob,mainHobby,motherLanguage,petOwner
Agatha,Agatha@gmail.com,F,51,São Gonçalo,1,false,false,87,1.9,true,false,false,35.16,teacher,Music,PORTUGUESE,true
Alice,Alice@gmail.com,F,106,Maceió,0,false,true,68,1.96,false,false,true,259.12,teacher,Sport,PORTUGUESE,false
Alícia,Alícia@gmail.com,F,68,Goiânia,1,false,true,65,1.93,true,false,false,41.41,police officer,Collecting,PORTUGUESE,true
Allana,Allana@gmail.com,F,17,São Gonçalo,3,false,true,55,1.7932,false,false,true,26.02,teacher,Collecting,PORTUGUESE,false
Amanda,Amanda@gmail.com,F,91,Recife,2,false,false,53,1.9,true,false,true,227.55,chef,Music,ENGLISH,false
Ana,Ana@gmail.com,F,35,Curitiba,0,false,true,65,1.92,false,false,false,150.65,scientist,Crafts,PORTUGUESE,true
Ana Beatriz,Ana_Beatriz@gmail.com,F,15,Belo Horizonte,0,false,true,41,1.8804,true,false,false,104.65,actor,Television,PORTUGUESE,false
Ana Cecília,Ana_Cecília@gmail.com,F,23,Brasília,3,false,false,36,1.1157,false,false,false,38.74,dentist,Collecting,PORTUGUESE,false
Ana Clara,Ana_Clara@gmail.com,F,19,Natal,0,false,false,22,1.8224,false,false,true,105.41,teacher,Music,PORTUGUESE,true
Ana Júlia,Ana_Júlia@gmail.com,F,60,São Gonçalo,0,false,true,88,1.94,true,false,true,92.61,police officer,Collecting,ENGLISH,true
Ana Laura,Ana_Laura@gmail.com,F,69,Campo Grande,2,false,false,57,1.97,false,true,false,68.81,police officer,Crafts,PORTUGUESE,true
Ana Lívia,Ana_Lívia@gmail.com,F,59,Duque de Caxias,2,false,true,92,1.96,true,false,true,163.63,assistant,Traveling,PORTUGUESE,true
Ana Liz,Ana_Liz@gmail.com,F,25,Recife,1,false,true,33,1.317,true,false,true,99.45,scientist,Music,PORTUGUESE,true
Ana Luiza,Ana_Luiza@gmail.com,F,77,Campinas,0,false,true,53,1.9,false,false,true,59.44,scientist,Television,PORTUGUESE,true
Ana Sophia,Ana_Sophia@gmail.com,F,74,São Luís,0,false,true,61,1.98,true,false,false,38.48,dentist,Television,PORTUGUESE,true
Ana Vitória,Ana_Vitória@gmail.com,F,25,Belo Horizonte,3,false,false,33,1.2105,true,false,true,14.63,engineer,Fishing,PORTUGUESE,true
Analu,Analu@gmail.com,F,41,São Luís,0,false,true,99,1.98,true,false,false,25.92,assistant,Collecting,PORTUGUESE,true
